Gen	PrZero	PrOne
0	0.0	1.0
1	0.9	0.1
2	0.45	0.55
3	0.675	0.325
4	0.5625	0.4375
5	0.61875	0.38125
6	0.590625	0.409375
7	0.6046875	0.3953125
8	0.59765625	0.40234375
9	0.601171875	0.398828125
10	0.5994140625	0.4005859375
11	0.60029296875	0.39970703125
12	0.599853515625	0.400146484375
13	0.600073242188	0.399926757812
14	0.599963378906	0.400036621094
15	0.600018310547	0.399981689453
16	0.599990844727	0.400009155273
17	0.600004577637	0.399995422363
18	0.599997711182	0.400002288818
19	0.600001144409	0.399998855591
